url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,genre,gender
http://www.billboard.com/charts/hot-100/2009-12-19,2009-12-19,17,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,15,1,26,Pop,Coed
http://www.billboard.com/charts/hot-100/2001-03-17,2001-03-17,22,Independent Women Part I,Destiny's Child,Independent Women Part IDestiny's Child,1,15,1,26,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2006-02-11,2006-02-11,25,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,20,3,26,Pop,Coed
http://www.billboard.com/charts/hot-100/1976-04-17,1976-04-17,26,Love Machine (Part 1),The Miracles,Love Machine (Part 1)The Miracles,1,22,1,26,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2004-04-10,2004-04-10,26,Hey Ya!,OutKast,Hey Ya!OutKast,1,22,1,26,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-08-27,2011-08-27,29,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,25,3,26,Pop,Coed
http://www.billboard.com/charts/hot-100/1996-06-08,1996-06-08,33,Just A Girl,No Doubt,Just A GirlNo Doubt,1,28,23,26,Pop,Coed
http://www.billboard.com/charts/hot-100/2004-04-24,2004-04-24,41,It's My Life,No Doubt,It's My LifeNo Doubt,1,39,10,26,Pop,Coed
http://www.billboard.com/charts/hot-100/2000-11-11,2000-11-11,10,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,8,3,27,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2009-12-26,2009-12-26,18,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,17,1,27,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-05-30,1998-05-30,21,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,16,3,27,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2006-02-18,2006-02-18,25,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,25,3,27,Pop,Coed
http://www.billboard.com/charts/hot-100/2001-03-24,2001-03-24,29,Independent Women Part I,Destiny's Child,Independent Women Part IDestiny's Child,1,22,1,27,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-04-17,2004-04-17,29,Hey Ya!,OutKast,Hey Ya!OutKast,1,26,1,27,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-09-03,2011-09-03,31,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,29,3,27,Pop,Coed
http://www.billboard.com/charts/hot-100/1996-06-15,1996-06-15,42,Just A Girl,No Doubt,Just A GirlNo Doubt,1,33,23,27,Pop,Coed
http://www.billboard.com/charts/hot-100/2004-05-01,2004-05-01,43,It's My Life,No Doubt,It's My LifeNo Doubt,1,41,10,27,Pop,Coed
http://www.billboard.com/charts/hot-100/1976-04-24,1976-04-24,56,Love Machine (Part 1),The Miracles,Love Machine (Part 1)The Miracles,1,26,1,27,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2000-11-18,2000-11-18,15,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,10,3,28,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1998-06-06,1998-06-06,19,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,21,3,28,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,20,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,18,1,28,Pop,Coed
http://www.billboard.com/charts/hot-100/2006-02-25,2006-02-25,26,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,25,3,28,Pop,Coed
http://www.billboard.com/charts/hot-100/2001-03-31,2001-03-31,31,Independent Women Part I,Destiny's Child,Independent Women Part IDestiny's Child,1,29,1,28,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-04-24,2004-04-24,33,Hey Ya!,OutKast,Hey Ya!OutKast,1,29,1,28,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-09-10,2011-09-10,35,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,31,3,28,Pop,Coed
http://www.billboard.com/charts/hot-100/2004-05-08,2004-05-08,46,It's My Life,No Doubt,It's My LifeNo Doubt,1,43,10,28,Pop,Coed
http://www.billboard.com/charts/hot-100/1996-06-22,1996-06-22,48,Just A Girl,No Doubt,Just A GirlNo Doubt,1,42,23,28,Pop,Coed
http://www.billboard.com/charts/hot-100/1976-05-01,1976-05-01,71,Love Machine (Part 1),The Miracles,Love Machine (Part 1)The Miracles,1,56,1,28,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,14,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,20,1,29,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-06-13,1998-06-13,21,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,19,3,29,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2006-03-04,2006-03-04,23,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,26,3,29,Pop,Coed
http://www.billboard.com/charts/hot-100/2000-11-25,2000-11-25,24,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,15,3,29,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-05-01,2004-05-01,34,Hey Ya!,OutKast,Hey Ya!OutKast,1,33,1,29,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-09-17,2011-09-17,41,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,35,3,29,Pop,Coed
http://www.billboard.com/charts/hot-100/1996-06-29,1996-06-29,50,Just A Girl,No Doubt,Just A GirlNo Doubt,1,48,23,29,Pop,Coed
http://www.billboard.com/charts/hot-100/2010-01-16,2010-01-16,9,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,14,1,30,Pop,Coed
http://www.billboard.com/charts/hot-100/2006-03-11,2006-03-11,24,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,23,3,30,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-06-20,1998-06-20,25,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,21,3,30,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2000-12-02,2000-12-02,30,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,24,3,30,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-05-08,2004-05-08,40,Hey Ya!,OutKast,Hey Ya!OutKast,1,34,1,30,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-09-24,2011-09-24,47,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,41,3,30,Pop,Coed
http://www.billboard.com/charts/hot-100/2010-01-23,2010-01-23,12,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,9,1,31,Pop,Coed
http://www.billboard.com/charts/hot-100/2006-03-18,2006-03-18,28,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,24,3,31,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-06-27,1998-06-27,28,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,25,3,31,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2000-12-09,2000-12-09,35,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,30,3,31,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-05-15,2004-05-15,41,Hey Ya!,OutKast,Hey Ya!OutKast,1,40,1,31,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-10-01,2011-10-01,49,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,47,3,31,Pop,Coed
http://www.billboard.com/charts/hot-100/2010-01-30,2010-01-30,11,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,12,1,32,Pop,Coed
http://www.billboard.com/charts/hot-100/2006-03-25,2006-03-25,25,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,28,3,32,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-07-04,1998-07-04,31,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,28,3,32,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2000-12-16,2000-12-16,39,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,35,3,32,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-05-22,2004-05-22,48,Hey Ya!,OutKast,Hey Ya!OutKast,1,41,1,32,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2010-02-06,2010-02-06,15,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,11,1,33,Pop,Coed
http://www.billboard.com/charts/hot-100/2006-04-01,2006-04-01,28,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,25,3,33,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-07-11,1998-07-11,33,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,31,3,33,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,16,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,15,1,34,Pop,Coed
http://www.billboard.com/charts/hot-100/2006-04-08,2006-04-08,34,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,28,3,34,Pop,Coed
http://www.billboard.com/charts/hot-100/1967-12-09,1967-12-09,7,I Second That Emotion,Smokey Robinson & The Miracles,I Second That EmotionSmokey Robinson & The Miracles,1,11,7,6,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2005-09-24,2005-09-24,7,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,16,7,6,Pop,Coed
