week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,collab,genre,gender,parent_group
2017-08-26,99,Havana,Camila Cabello Featuring Young Thug,HavanaCamila Cabello Featuring Young Thug,1,NA,99,1,Yes,Pop,Female,Fifth Harmony
1976-09-18,100,Let's Be Young Tonight,Jermaine Jackson,Let's Be Young TonightJermaine Jackson,1,NA,100,1,No,Pop,Male,Jackson 5
2008-10-25,100,If I Were A Boy,Beyonce,If I Were A BoyBeyonce,1,NA,100,1,No,R&B/Hip Hop,Female,Destiny's Child
2012-09-15,100,Ice,Kelly Rowland Featuring Lil Wayne,IceKelly Rowland Featuring Lil Wayne,1,NA,100,1,Yes,R&B/Hip Hop,Female,Destiny's Child
2015-07-04,100,Good Thing,Sage The Gemini Featuring Nick Jonas,Good ThingSage The Gemini Featuring Nick Jonas,1,NA,100,1,Yes,Pop,Male,Spice Girls
2010-07-17,2,Love The Way You Lie,Eminem Featuring Rihanna,Love The Way You LieEminem Featuring Rihanna,1,2,2,2,Yes,R&B/Hip Hop,Male,D12
2018-10-06,5,Killshot,Eminem,KillshotEminem,1,3,3,2,No,R&B/Hip Hop,Male,D12
2006-08-12,5,London Bridge,Fergie,London BridgeFergie,1,84,5,2,No,Pop,Female,The Black Eyed Peas
2010-05-29,6,Not Afraid,Eminem,Not AfraidEminem,1,1,1,2,No,R&B/Hip Hop,Male,D12
1971-10-30,6,Imagine,John Lennon Plastic Ono Band,ImagineJohn Lennon Plastic Ono Band,1,20,6,2,Yes,Rock,Male,The Eagles
1996-03-02,7,Jesus To A Child,George Michael,Jesus To A ChildGeorge Michael,1,7,7,2,No,Pop,Male,Wham!
2013-08-03,8,Holy Grail,Jay Z Featuring Justin Timberlake,Holy GrailJay Z Featuring Justin Timberlake,1,8,8,2,Yes,Pop,Male,N Sync
2010-04-24,10,OMG,Usher Featuring will.i.am,OMGUsher Featuring will.i.am,1,14,10,2,Yes,Pop,Male,The Black Eyed Peas
2004-10-16,10,Just Lose It,Eminem,Just Lose ItEminem,1,17,10,2,No,R&B/Hip Hop,Male,D12
2009-10-10,12,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",1,8,8,2,Yes,R&B/Hip Hop,Male,D12
2010-02-13,13,Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton,HallelujahJustin Timberlake & Matt Morris Featuring Charlie Sexton,1,48,13,2,Yes,Pop,Male,N Sync
1970-12-05,13,My Sweet Lord/Isn't It A Pity,George Harrison,My Sweet Lord/Isn't It A PityGeorge Harrison,1,72,13,2,No,Rock,Male,The Eagles
1998-02-14,15,Gone Till November,Wyclef Jean,Gone Till NovemberWyclef Jean,1,22,15,2,No,R&B/Hip Hop,Male,The Fugees
2015-02-14,15,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,FourFiveSecondsRihanna & Kanye West & Paul McCartney,1,54,15,2,Yes,Rock,Male,The Eagles
2016-05-21,16,Hold Up,Beyonce,Hold UpBeyonce,1,13,13,2,No,R&B/Hip Hop,Female,Destiny's Child
1987-08-15,16,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,I Just Can't Stop Loving YouMichael Jackson With Siedah Garrett,1,37,16,2,Yes,Pop,Male,Jackson 5
2014-01-11,17,Drunk In Love,Beyonce Featuring Jay Z,Drunk In LoveBeyonce Featuring Jay Z,1,12,12,2,Yes,R&B/Hip Hop,Female,Destiny's Child
2017-01-07,18,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker)Zayn / Taylor Swift,1,6,6,2,Yes,Pop,Male,One Direction
2018-09-22,18,Lucky You,Eminem Featuring Joyner Lucas,Lucky YouEminem Featuring Joyner Lucas,1,6,6,2,Yes,R&B/Hip Hop,Male,D12
2002-10-12,18,Lose Yourself,Eminem,Lose YourselfEminem,1,43,18,2,No,R&B/Hip Hop,Male,D12
2016-05-21,19,Formation,Beyonce,FormationBeyonce,1,10,10,2,No,R&B/Hip Hop,Female,Destiny's Child
1998-07-04,19,Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,Ghetto Supastar (That Is What You Are)Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,1,23,19,2,Yes,R&B/Hip Hop,Male,The Fugees
2010-01-23,20,Drop The World,Lil Wayne Featuring Eminem,Drop The WorldLil Wayne Featuring Eminem,1,18,18,2,Yes,R&B/Hip Hop,Male,D12
2019-05-25,21,Homicide,Logic Featuring Eminem,HomicideLogic Featuring Eminem,1,5,5,2,Yes,R&B/Hip Hop,Male,D12
1982-04-17,21,Ebony And Ivory,Paul McCartney And Stevie Wonder,Ebony And IvoryPaul McCartney And Stevie Wonder,1,29,21,2,Yes,Rock,Male,The Eagles
1999-12-04,21,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip","Hot BoyzMissy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",1,36,21,2,Yes,R&B/Hip Hop,Male,A Tribe Called Quest
2012-04-28,21,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz","MercyKanye West, Big Sean, Pusha T, 2 Chainz",1,38,21,2,Yes,R&B/Hip Hop,Male,Clipse
2014-05-24,22,Love Never Felt So Good,Michael Jackson & Justin Timberlake,Love Never Felt So GoodMichael Jackson & Justin Timberlake,1,20,20,2,Yes,Pop,Male,N Sync
1996-05-18,23,Fastlove,George Michael,FastloveGeorge Michael,1,34,23,2,No,Pop,Male,Wham!
1971-05-08,24,It Don't Come Easy,Ringo Starr,It Don't Come EasyRingo Starr,1,49,24,2,No,Rock,Male,The Eagles
2006-11-11,24,Irreplaceable,Beyonce,IrreplaceableBeyonce,1,87,24,2,No,R&B/Hip Hop,Female,Destiny's Child
1992-05-02,26,In The Closet,Michael Jackson,In The ClosetMichael Jackson,1,46,26,2,No,Pop,Male,Jackson 5
1984-01-28,27,Nobody Told Me,John Lennon,Nobody Told MeJohn Lennon,1,36,27,2,No,Rock,Male,The Eagles
2009-04-04,27,Love Sex Magic,Ciara Featuring Justin Timberlake,Love Sex MagicCiara Featuring Justin Timberlake,1,86,27,2,Yes,Pop,Male,N Sync
2018-01-27,29,Filthy,Justin Timberlake,FilthyJustin Timberlake,1,9,9,2,No,Pop,Male,N Sync
1980-08-16,29,Late In The Evening,Paul Simon,Late In The EveningPaul Simon,1,46,29,2,No,Rock,Male,Simon & Garfunkel
2006-09-30,29,My Love,Justin Timberlake Featuring T.I.,My LoveJustin Timberlake Featuring T.I.,1,89,29,2,Yes,Pop,Male,N Sync
1988-04-23,31,One More Try,George Michael,One More TryGeorge Michael,1,40,31,2,No,Pop,Male,Wham!
2011-02-26,32,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,I Need A DoctorDr. Dre Featuring Eminem & Skylar Grey,1,5,5,2,Yes,R&B/Hip Hop,Male,D12
1985-06-15,33,If You Love Somebody Set Them Free,Sting,If You Love Somebody Set Them FreeSting,1,44,33,2,No,Rock,Male,The Eagles
2018-09-22,34,Fall,Eminem,FallEminem,1,12,12,2,No,R&B/Hip Hop,Male,D12
1988-10-15,34,Kissing A Fool,George Michael,Kissing A FoolGeorge Michael,1,47,34,2,No,Pop,Male,Wham!
1973-05-26,34,Give Me Love - (Give Me Peace On Earth),George Harrison,Give Me Love - (Give Me Peace On Earth)George Harrison,1,59,34,2,No,Rock,Male,The Eagles
2004-04-03,34,Naughty Girl,Beyonce,Naughty GirlBeyonce,1,68,34,2,No,R&B/Hip Hop,Female,Destiny's Child
1983-07-30,35,Human Nature,Michael Jackson,Human NatureMichael Jackson,1,48,35,2,No,Pop,Male,Jackson 5
1992-07-18,35,Jam,Michael Jackson,JamMichael Jackson,1,64,35,2,No,Pop,Male,Jackson 5
2008-07-12,36,Gotta Find You,Joe Jonas,Gotta Find YouJoe Jonas,1,30,30,2,No,Pop,Male,Spice Girls
1988-07-16,36,Monkey,George Michael,MonkeyGeorge Michael,1,42,36,2,No,Pop,Male,Wham!
1988-02-13,36,Man In The Mirror,Michael Jackson,Man In The MirrorMichael Jackson,1,48,36,2,No,Pop,Male,Jackson 5
1988-01-23,37,Father Figure,George Michael,Father FigureGeorge Michael,1,49,37,2,No,Pop,Male,Wham!
1980-02-23,37,Off The Wall,Michael Jackson,Off The WallMichael Jackson,1,53,37,2,No,Pop,Male,Jackson 5
1987-10-31,37,Faith,George Michael,FaithGeorge Michael,1,54,37,2,No,Pop,Male,Wham!
1983-04-16,37,My Love,Lionel Richie,My LoveLionel Richie,1,55,37,2,No,R&B/Hip Hop,Male,Commodores
1984-10-20,38,No More Lonely Nights,Paul McCartney,No More Lonely NightsPaul McCartney,1,48,38,2,No,Rock,Male,The Eagles
1981-07-18,38,Endless Love,Diana Ross & Lionel Richie,Endless LoveDiana Ross & Lionel Richie,1,54,38,2,Yes,R&B/Hip Hop,Male,The Supremes
1990-11-03,39,Freedom,George Michael,FreedomGeorge Michael,1,53,39,2,No,Pop,Male,Wham!
1971-11-06,39,Got To Be There,Michael Jackson,Got To Be ThereMichael Jackson,1,89,39,2,No,Pop,Male,Jackson 5
2008-07-12,40,In The Ayer,Flo Rida Featuring will.i.am,In The AyerFlo Rida Featuring will.i.am,1,38,38,2,Yes,Pop,Male,The Black Eyed Peas
1985-02-16,41,One More Night,Phil Collins,One More NightPhil Collins,1,50,41,2,No,Rock,Male,The Eagles
1985-08-31,42,Fortress Around Your Heart,Sting,Fortress Around Your HeartSting,1,51,42,2,No,Rock,Male,The Eagles
1988-09-10,42,Groovy Kind Of Love,Phil Collins,Groovy Kind Of LovePhil Collins,1,52,42,2,No,Rock,Male,The Eagles
1973-12-01,42,Helen Wheels,Paul McCartney And Wings,Helen WheelsPaul McCartney And Wings,1,66,42,2,Yes,Rock,Male,The Eagles
1974-11-16,43,Junior's Farm/Sally G,Paul McCartney And Wings,Junior's Farm/Sally GPaul McCartney And Wings,1,59,43,2,Yes,Rock,Male,The Eagles
1984-07-28,44,Dynamite,Jermaine Jackson,DynamiteJermaine Jackson,1,55,44,2,No,Pop,Male,Jackson 5
1987-02-28,44,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,I Knew You Were Waiting (For Me)Aretha Franklin & George Michael,1,59,44,2,Yes,Pop,Male,Wham!
1973-08-11,44,Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds),Loves Me Like A RockPaul Simon (with The Dixie Hummingbirds),1,60,44,2,Yes,Rock,Male,Simon & Garfunkel
1974-03-16,44,Oh My My,Ringo Starr,Oh My MyRingo Starr,1,65,44,2,No,Rock,Male,The Eagles
1984-12-01,45,Easy Lover,Philip Bailey With Phil Collins,Easy LoverPhilip Bailey With Phil Collins,1,63,45,2,Yes,Rock,Male,The Eagles
2002-09-14,46,Like I Love You,Justin Timberlake,Like I Love YouJustin Timberlake,1,67,46,2,No,Pop,Male,N Sync
1990-02-10,46,I Wish It Would Rain Down,Phil Collins,I Wish It Would Rain DownPhil Collins,1,71,46,2,No,Rock,Male,The Eagles
2006-06-17,46,I Love My B****,Busta Rhymes Featuring will.i.am & Kelis,I Love My B****Busta Rhymes Featuring will.i.am & Kelis,1,98,46,2,Yes,Pop,Male,The Black Eyed Peas
1994-02-05,47,Everyday,Phil Collins,EverydayPhil Collins,1,49,47,2,No,Rock,Male,The Eagles
1987-06-13,47,"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael,"I Want Your Sex (From ""Beverly Hills Cop II"")George Michael",1,51,47,2,No,Pop,Male,Wham!
1986-10-11,47,Love Will Conquer All,Lionel Richie,Love Will Conquer AllLionel Richie,1,56,47,2,No,R&B/Hip Hop,Male,Commodores
1985-11-16,47,Love Is The Seventh Wave,Sting,Love Is The Seventh WaveSting,1,61,47,2,No,Rock,Male,The Eagles
1981-03-07,47,I Can't Stand It,Eric Clapton And His Band,I Can't Stand ItEric Clapton And His Band,1,63,47,2,Yes,Rock,Male,Yardbirds
1974-02-16,47,Jet,Paul McCartney And Wings,JetPaul McCartney And Wings,1,69,47,2,Yes,Rock,Male,The Eagles
1976-08-14,48,One Love In My Lifetime,Diana Ross,One Love In My LifetimeDiana Ross,1,58,48,2,No,R&B/Hip Hop,Female,The Supremes
1972-06-03,49,I Wanna Be Where You Are,Michael Jackson,I Wanna Be Where You AreMichael Jackson,1,59,49,2,No,Pop,Male,Jackson 5
1976-03-27,49,I Thought It Took A Little Time (But Today I Fell In Love),Diana Ross,I Thought It Took A Little Time (But Today I Fell In Love)Diana Ross,1,59,49,2,No,R&B/Hip Hop,Female,The Supremes
1996-08-31,49,"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight & Chaka Khan","Missing You (From ""Set It Off"")Brandy, Tamia, Gladys Knight & Chaka Khan",1,62,49,2,Yes,R&B/Hip Hop,Female,Rufus
1972-04-15,49,Me And Julio Down By The Schoolyard,Paul Simon,Me And Julio Down By The SchoolyardPaul Simon,1,90,49,2,No,Rock,Male,Simon & Garfunkel
1989-03-04,50,Heaven Help Me,Deon Estus With George Michael,Heaven Help MeDeon Estus With George Michael,1,67,50,2,Yes,Pop,Male,Wham!
1984-03-03,50,Hello,Lionel Richie,HelloLionel Richie,1,75,50,2,No,R&B/Hip Hop,Male,Commodores
2010-12-11,50,Hold My Hand,Michael Jackson Duet With Akon,Hold My HandMichael Jackson Duet With Akon,1,84,50,2,Yes,Pop,Male,Jackson 5
1983-02-05,51,I've Got A Rock N' Roll Heart,Eric Clapton,I've Got A Rock N' Roll HeartEric Clapton,1,61,51,2,No,Rock,Male,Yardbirds
1985-03-16,51,Forever Man,Eric Clapton,Forever ManEric Clapton,1,64,51,2,No,Rock,Male,Yardbirds
1982-01-16,51,"Mirror, Mirror",Diana Ross,"Mirror, MirrorDiana Ross",1,80,51,2,No,R&B/Hip Hop,Female,The Supremes
1972-02-12,51,Mother And Child Reunion,Paul Simon,Mother And Child ReunionPaul Simon,1,85,51,2,No,Rock,Male,Simon & Garfunkel
1976-04-10,52,Love Hangover,Diana Ross,Love HangoverDiana Ross,1,78,52,2,No,R&B/Hip Hop,Female,The Supremes
1990-11-17,53,Hang In Long Enough,Phil Collins,Hang In Long EnoughPhil Collins,1,69,53,2,No,Rock,Male,The Eagles
2017-07-29,53,Mi Gente,J Balvin & Willy William Featuring Beyonce,Mi GenteJ Balvin & Willy William Featuring Beyonce,1,70,53,2,Yes,R&B/Hip Hop,Female,Destiny's Child
1977-11-12,53,Gettin' Ready For Love,Diana Ross,Gettin' Ready For LoveDiana Ross,1,82,53,2,No,R&B/Hip Hop,Female,The Supremes
2011-05-07,54,Motivation,Kelly Rowland Featuring Lil Wayne,MotivationKelly Rowland Featuring Lil Wayne,1,55,54,2,Yes,R&B/Hip Hop,Female,Destiny's Child
